panel_size,delta,reject_probability_boundary,accept_probability_boundary,uncertainty_band_width,uniform_threshold_interval_mass,declared_weight_threshold_interval_mass,uniform_certification_boundary_interval_mass,declared_weight_certification_boundary_interval_mass,uniform_uncertified_fraction,declared_weight_uncertified_fraction,median_plugin_distance_to_nearest_boundary,p10_plugin_distance_to_nearest_boundary,estimation_status
5,0.01,0.10563984355077434,0.8943601564492256,0.7887203128984512,0.06,0.07500000000000001,0.94,0.925,1.0,1.0,0.10563984355077434,0.08063984355077436,pilot_diagnostic_interval_geometry
7,0.01,0.14227037700685727,0.8577296229931427,0.7154592459862854,0.06,0.07500000000000001,0.94,0.925,1.0,1.0,0.14227037700685727,0.11727037700685727,pilot_diagnostic_interval_geometry
11,0.01,0.19397672057857815,0.8060232794214218,0.6120465588428436,0.06,0.07500000000000001,0.28,0.30416666666666664,0.3,0.32416666666666666,0.19397672057857815,0.16897672057857815,pilot_diagnostic_interval_geometry
13,0.01,0.21287732500631354,0.7871226749936865,0.574245349987373,0.06,0.07500000000000001,0.28,0.30416666666666664,0.3,0.32416666666666666,0.21287732500631354,0.1878773250063135,pilot_diagnostic_interval_geometry
23,0.01,0.27329332997064415,0.7267066700293559,0.4534133400587117,0.06,0.07500000000000001,0.12,0.14750000000000002,0.12,0.14750000000000002,0.27329332997064415,0.20136533602348466,pilot_diagnostic_interval_geometry
25,0.01,0.2814079421541761,0.7185920578458239,0.43718411569164783,0.06,0.07500000000000001,0.12,0.14750000000000002,0.12,0.14750000000000002,0.2814079421541761,0.20512635372334087,pilot_diagnostic_interval_geometry
47,0.01,0.33593604706229035,0.6640639529377097,0.32812790587541935,0.06,0.07500000000000001,0.08,0.10750000000000001,0.08,0.10750000000000001,0.3359360470622903,0.25843604706229034,pilot_diagnostic_interval_geometry
49,0.01,0.33910211356415804,0.660897886435842,0.321795772871684,0.06,0.07500000000000001,0.08,0.10750000000000001,0.08,0.10750000000000001,0.339102113564158,0.261602113564158,pilot_diagnostic_interval_geometry
95,0.01,0.38264241660982873,0.6173575833901712,0.2347151667803425,0.06,0.07500000000000001,0.06,0.07500000000000001,0.06,0.07500000000000001,0.38264241660982873,0.3051424166098287,pilot_diagnostic_interval_geometry
97,0.01,0.3838187910203489,0.6161812089796511,0.23236241795930224,0.06,0.07500000000000001,0.06,0.07500000000000001,0.06,0.07500000000000001,0.3838187910203489,0.30631879102034887,pilot_diagnostic_interval_geometry
191,0.01,0.4165364018232001,0.5834635981767999,0.16692719635359982,0.06,0.07500000000000001,0.06,0.07500000000000001,0.06,0.07500000000000001,0.41653640182320006,0.3390364018232001,pilot_diagnostic_interval_geometry
193,0.01,0.4169628154910642,0.5830371845089359,0.16607436901787176,0.06,0.07500000000000001,0.06,0.07500000000000001,0.06,0.07500000000000001,0.4169628154910641,0.33946281549106416,pilot_diagnostic_interval_geometry
383,0.01,0.4408123507238505,0.5591876492761495,0.118375298552299,0.06,0.07500000000000001,0.06,0.07500000000000001,0.06,0.07500000000000001,0.4408123507238505,0.3633123507238505,pilot_diagnostic_interval_geometry
385,0.01,0.44096500642612435,0.5590349935738756,0.1180699871477513,0.06,0.07500000000000001,0.06,0.07500000000000001,0.06,0.07500000000000001,0.44096500642612435,0.36346500642612434,pilot_diagnostic_interval_geometry
767,0.01,0.4580878245662821,0.5419121754337175,0.0838243508674354,0.06,0.07500000000000001,0.06,0.07500000000000001,0.06,0.07500000000000001,0.4580878245662821,0.3805878245662821,pilot_diagnostic_interval_geometry
769,0.01,0.45814213514659813,0.5418578648534018,0.08371572970680369,0.06,0.07500000000000001,0.06,0.07500000000000001,0.06,0.07500000000000001,0.45814213514659813,0.3806421351465981,pilot_diagnostic_interval_geometry
1535,0.01,0.47034232082842437,0.5296576791715757,0.059315358343151325,0.06,0.07500000000000001,0.06,0.07500000000000001,0.06,0.07500000000000001,0.4703423208284243,0.39284232082842435,pilot_diagnostic_interval_geometry
1537,0.01,0.4703615826961271,0.529638417303873,0.059276834607745854,0.06,0.07500000000000001,0.06,0.07500000000000001,0.06,0.07500000000000001,0.47036158269612705,0.3928615826961271,pilot_diagnostic_interval_geometry
