id,policy,trials,accept_count,acceptance_rate,interval_lower,interval_upper,population_decision,certified_at_panel_size,panel_size,delta,estimation_status,decision_changed_from_declared,certification_changed_from_declared
air-01,declared_map_to_reject,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
air-01,all_non_success_to_accept,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
air-01,successes_only,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
air-02,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
air-02,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
air-02,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
air-03,declared_map_to_reject,40,19,0.475,0.23129933736725922,0.727567368307643,reject,False,47,0.01,descriptive_failure_policy_sensitivity,False,False
air-03,all_non_success_to_accept,40,20,0.5,0.25158908187759815,0.7484109181224023,accept,False,47,0.01,descriptive_failure_policy_sensitivity,True,False
air-03,successes_only,39,19,0.48717948717948717,0.23833896422483167,0.7406761464033775,reject,False,47,0.01,descriptive_failure_policy_sensitivity,False,False
air-04,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
air-04,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
air-04,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
bug-01,declared_map_to_reject,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
bug-01,all_non_success_to_accept,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
bug-01,successes_only,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
bug-02,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
bug-02,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
bug-02,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
bug-03,declared_map_to_reject,40,4,0.1,0.009754061002961917,0.33416432038220156,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
bug-03,all_non_success_to_accept,40,5,0.125,0.01735787638756883,0.3673058999193304,reject,False,47,0.01,descriptive_failure_policy_sensitivity,False,True
bug-03,successes_only,39,4,0.10256410256410256,0.010013107285406418,0.3414806535646353,reject,False,47,0.01,descriptive_failure_policy_sensitivity,False,True
bug-04,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
bug-04,all_non_success_to_accept,40,1,0.025,1.562976270194556e-05,0.21885454921471933,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
