panel_size,delta,catalogue_size,familywise_certified_items,familywise_uniform_lower_coverage,familywise_declared_weight_lower_coverage,familywise_confidence,mass_certified_items,mass_uniform_certified_fraction,mass_declared_weight_certified_fraction,mass_uniform_lower_coverage,mass_declared_weight_lower_coverage,mass_confidence,claim_scope
5,0.01,50,0,0.0,0.0,0.975,0,0.0,0.0,0.0,0.0,0.975,fully_enumerated_frozen_catalogue
7,0.01,50,0,0.0,0.0,0.975,0,0.0,0.0,0.0,0.0,0.975,fully_enumerated_frozen_catalogue
11,0.01,50,35,0.7,0.6758333333333334,0.975,35,0.7,0.6758333333333334,0.6499999999999999,0.6258333333333334,0.975,fully_enumerated_frozen_catalogue
13,0.01,50,35,0.7,0.6758333333333334,0.975,35,0.7,0.6758333333333334,0.6499999999999999,0.6258333333333334,0.975,fully_enumerated_frozen_catalogue
23,0.01,50,44,0.88,0.8525,0.975,44,0.88,0.8525,0.83,0.8025,0.975,fully_enumerated_frozen_catalogue
25,0.01,50,44,0.88,0.8525,0.975,44,0.88,0.8525,0.83,0.8025,0.975,fully_enumerated_frozen_catalogue
47,0.01,50,45,0.9,0.8775000000000001,0.975,46,0.92,0.8925000000000001,0.87,0.8425,0.975,fully_enumerated_frozen_catalogue
49,0.01,50,45,0.9,0.8775000000000001,0.975,46,0.92,0.8925000000000001,0.87,0.8425,0.975,fully_enumerated_frozen_catalogue
95,0.01,50,46,0.92,0.8925000000000001,0.975,47,0.94,0.925,0.8899999999999999,0.875,0.975,fully_enumerated_frozen_catalogue
97,0.01,50,46,0.92,0.8925000000000001,0.975,47,0.94,0.925,0.8899999999999999,0.875,0.975,fully_enumerated_frozen_catalogue
191,0.01,50,47,0.94,0.925,0.975,47,0.94,0.925,0.8899999999999999,0.875,0.975,fully_enumerated_frozen_catalogue
193,0.01,50,47,0.94,0.925,0.975,47,0.94,0.925,0.8899999999999999,0.875,0.975,fully_enumerated_frozen_catalogue
383,0.01,50,47,0.94,0.925,0.975,47,0.94,0.925,0.8899999999999999,0.875,0.975,fully_enumerated_frozen_catalogue
385,0.01,50,47,0.94,0.925,0.975,47,0.94,0.925,0.8899999999999999,0.875,0.975,fully_enumerated_frozen_catalogue
767,0.01,50,47,0.94,0.925,0.975,47,0.94,0.925,0.8899999999999999,0.875,0.975,fully_enumerated_frozen_catalogue
769,0.01,50,47,0.94,0.925,0.975,47,0.94,0.925,0.8899999999999999,0.875,0.975,fully_enumerated_frozen_catalogue
1535,0.01,50,47,0.94,0.925,0.975,47,0.94,0.925,0.8899999999999999,0.875,0.975,fully_enumerated_frozen_catalogue
1537,0.01,50,47,0.94,0.925,0.975,47,0.94,0.925,0.8899999999999999,0.875,0.975,fully_enumerated_frozen_catalogue
