panel_size,certified_items,uniform_certified_fraction,declared_weight_certified_fraction,delta,claim_scope
1,35,0.7,0.6758333333333334,0.01,exact_frozen_census_no_replacement
2,42,0.84,0.8200000000000001,0.01,exact_frozen_census_no_replacement
3,44,0.88,0.8525,0.01,exact_frozen_census_no_replacement
4,44,0.88,0.8525,0.01,exact_frozen_census_no_replacement
5,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
6,46,0.92,0.8925000000000001,0.01,exact_frozen_census_no_replacement
7,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
8,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
9,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
10,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
11,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
12,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
13,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
14,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
15,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
16,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
17,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
18,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
19,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
20,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
21,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
22,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
23,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
24,48,0.96,0.9550000000000001,0.01,exact_frozen_census_no_replacement
25,47,0.94,0.925,0.01,exact_frozen_census_no_replacement
26,48,0.96,0.9550000000000001,0.01,exact_frozen_census_no_replacement
27,48,0.96,0.9550000000000001,0.01,exact_frozen_census_no_replacement
28,48,0.96,0.9550000000000001,0.01,exact_frozen_census_no_replacement
29,48,0.96,0.9550000000000001,0.01,exact_frozen_census_no_replacement
30,48,0.96,0.9550000000000001,0.01,exact_frozen_census_no_replacement
31,48,0.96,0.9550000000000001,0.01,exact_frozen_census_no_replacement
32,49,0.98,0.9800000000000001,0.01,exact_frozen_census_no_replacement
33,48,0.96,0.9550000000000001,0.01,exact_frozen_census_no_replacement
34,49,0.98,0.9800000000000001,0.01,exact_frozen_census_no_replacement
35,49,0.98,0.9800000000000001,0.01,exact_frozen_census_no_replacement
36,49,0.98,0.9800000000000001,0.01,exact_frozen_census_no_replacement
37,49,0.98,0.9800000000000001,0.01,exact_frozen_census_no_replacement
38,49,0.98,0.9800000000000001,0.01,exact_frozen_census_no_replacement
39,50,1.0,1.0,0.01,exact_frozen_census_no_replacement
40,50,1.0,1.0,0.01,exact_frozen_census_no_replacement
