id,evaluator_census_size,accept_count,census_decision,minimum_certifying_panel_size,stable_certifying_panel_size,selected_panel_errors,delta,claim_scope
sla-01,40,39,accept,2,2,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
sla-02,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
sla-03,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
sla-04,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
pay-01,40,40,accept,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
pay-02,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
pay-03,40,5,reject,5,7,"{""5"":0.00930991720465405,""7"":0.0017872123135281037,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
pay-04,40,39,accept,2,2,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
mkt-01,40,39,accept,2,2,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
mkt-02,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
mkt-03,40,25,accept,24,26,"{""5"":0.2638691322901849,""7"":0.223774858449781,""11"":0.15732183296849228,""13"":0.12899047873365743,""23"":0.027082143322410296,""25"":0.01531773709193064,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
mkt-04,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
pmo-01,40,40,accept,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
pmo-02,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
pmo-03,40,3,reject,5,5,"{""5"":0.0010121457489878545,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
pmo-04,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
pms-01,40,39,accept,2,2,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
pms-02,40,1,reject,3,3,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
pms-03,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
pms-04,40,40,accept,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
ins-01,40,40,accept,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
ins-02,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
ins-03,40,23,accept,32,34,"{""5"":0.3540504066819857,""7"":0.3263668526826421,""11"":0.2761115954664343,""13"":0.25215254186333164,""23"":0.13203946994825752,""25"":0.10708010568967188,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
ins-04,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
air-01,40,40,accept,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
air-02,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
air-03,40,19,reject,39,39,"{""5"":0.45062370062370055,""7"":0.4407484407484406,""11"":0.4220173026624639,""13"":0.41260559781138195,""23"":0.3569321267875217,""25"":0.34220455160388413,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
air-04,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
grt-01,40,39,accept,2,2,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
grt-02,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
grt-03,40,40,accept,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
grt-04,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
bug-01,40,40,accept,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
bug-02,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
bug-03,40,4,reject,5,5,"{""5"":0.0038844512528723057,""7"":0.00038297406718459356,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
bug-04,40,0,reject,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
mod-01,40,40,accept,1,1,"{""5"":0.0,""7"":0.0,""11"":0.0,""13"":0.0,""23"":0.0,""25"":0.0,""39"":0.0,""40"":0.0}",0.01,exact_frozen_census_no_replacement
