corruption_budget,corruption_fraction,panel_size,safe_items,uniform_safe_fraction,declared_weight_safe_fraction,delta,attack_model,claim_scope
0,0.0,5,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
0,0.0,7,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
0,0.0,11,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
0,0.0,13,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
0,0.0,23,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
0,0.0,25,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
0,0.0,39,50,1.0,1.0,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
0,0.0,40,50,1.0,1.0,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
1,0.025,5,46,0.92,0.8925000000000001,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
1,0.025,7,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
1,0.025,11,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
1,0.025,13,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
1,0.025,23,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
1,0.025,25,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
1,0.025,39,49,0.98,0.9800000000000001,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
1,0.025,40,49,0.98,0.9800000000000001,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
2,0.05,5,45,0.9,0.8775000000000001,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
2,0.05,7,46,0.92,0.8925000000000001,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
2,0.05,11,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
2,0.05,13,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
2,0.05,23,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
2,0.05,25,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
2,0.05,39,49,0.98,0.9800000000000001,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
2,0.05,40,49,0.98,0.9800000000000001,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
4,0.1,5,44,0.88,0.8525,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
4,0.1,7,44,0.88,0.8525,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
4,0.1,11,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
4,0.1,13,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
4,0.1,23,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
4,0.1,25,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
4,0.1,39,48,0.96,0.9550000000000001,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
4,0.1,40,48,0.96,0.9550000000000001,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
6,0.15,5,0,0.0,0.0,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
6,0.15,7,35,0.7,0.6758333333333334,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
6,0.15,11,45,0.9,0.8775000000000001,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
6,0.15,13,46,0.92,0.8925000000000001,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
6,0.15,23,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
6,0.15,25,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
6,0.15,39,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
6,0.15,40,47,0.94,0.925,0.01,exact_nonadaptive_targeted_census_contamination,frozen_census_sensitivity
