panel_size,delta,uniform_certified_fraction,declared_weight_certified_fraction,generator_correction,evaluator_mass_charge,exact_mass_controlled_lower_bound,hoeffding_mass_controlled_lower_bound,mass_controlled_lower_bound,target_coverage,passes_target,hoeffding_passes_target,claim_scope
5,0.01,0.0,0.0,0.25650051095485366,0.05,0.0,0.0,0.0,0.6,False,False,pilot_diagnostic_only
7,0.01,0.0,0.0,0.25650051095485366,0.05,0.0,0.0,0.0,0.6,False,False,pilot_diagnostic_only
11,0.01,0.7,0.6758333333333334,0.25650051095485366,0.05,0.43044413568373974,0.39349948904514626,0.43044413568373974,0.6,False,False,pilot_diagnostic_only
13,0.01,0.7,0.6758333333333334,0.25650051095485366,0.05,0.43044413568373974,0.39349948904514626,0.43044413568373974,0.6,False,False,pilot_diagnostic_only
23,0.01,0.88,0.8525,0.25650051095485366,0.05,0.637152562638271,0.5734994890451464,0.637152562638271,0.6,True,False,pilot_diagnostic_only
25,0.01,0.88,0.8525,0.25650051095485366,0.05,0.637152562638271,0.5734994890451464,0.637152562638271,0.6,True,False,pilot_diagnostic_only
47,0.01,0.92,0.8925000000000001,0.25650051095485366,0.05,0.6911984505098117,0.6134994890451464,0.6911984505098117,0.6,True,True,pilot_diagnostic_only
49,0.01,0.92,0.8925000000000001,0.25650051095485366,0.05,0.6911984505098117,0.6134994890451464,0.6911984505098117,0.6,True,True,pilot_diagnostic_only
95,0.01,0.94,0.925,0.25650051095485366,0.05,0.7203196148961888,0.6334994890451462,0.7203196148961888,0.6,True,True,pilot_diagnostic_only
97,0.01,0.94,0.925,0.25650051095485366,0.05,0.7203196148961888,0.6334994890451462,0.7203196148961888,0.6,True,True,pilot_diagnostic_only
191,0.01,0.94,0.925,0.25650051095485366,0.05,0.7203196148961888,0.6334994890451462,0.7203196148961888,0.6,True,True,pilot_diagnostic_only
193,0.01,0.94,0.925,0.25650051095485366,0.05,0.7203196148961888,0.6334994890451462,0.7203196148961888,0.6,True,True,pilot_diagnostic_only
383,0.01,0.94,0.925,0.25650051095485366,0.05,0.7203196148961888,0.6334994890451462,0.7203196148961888,0.6,True,True,pilot_diagnostic_only
385,0.01,0.94,0.925,0.25650051095485366,0.05,0.7203196148961888,0.6334994890451462,0.7203196148961888,0.6,True,True,pilot_diagnostic_only
767,0.01,0.94,0.925,0.25650051095485366,0.05,0.7203196148961888,0.6334994890451462,0.7203196148961888,0.6,True,True,pilot_diagnostic_only
769,0.01,0.94,0.925,0.25650051095485366,0.05,0.7203196148961888,0.6334994890451462,0.7203196148961888,0.6,True,True,pilot_diagnostic_only
1535,0.01,0.94,0.925,0.25650051095485366,0.05,0.7203196148961888,0.6334994890451462,0.7203196148961888,0.6,True,True,pilot_diagnostic_only
1537,0.01,0.94,0.925,0.25650051095485366,0.05,0.7203196148961888,0.6334994890451462,0.7203196148961888,0.6,True,True,pilot_diagnostic_only
