configuration_id,provider,served_model_id,calls,successes,policy_fingerprints,mean_latency_ms,total_cost_usd
claude-opus-4-8,openrouter_market,anthropic/claude-opus-4.8,50,45,"[""887242138-1382858753""]",3224.6989800000006,0.294285
claude-opus-5,openrouter_market,anthropic/claude-opus-5,50,50,"[""887242138-1382858753""]",5065.53214,0.443508
deepseek-v4-flash,openrouter,deepseek/deepseek-v4-flash,200,195,"[""887242138-1382858753""]",8468.187124999999,0.018818
deepseek-v4-pro,openrouter,deepseek/deepseek-v4-pro,250,245,"[""887242138-1382858753""]",8707.20424,0.206695
gemini-3-flash-preview,openrouter_market,google/gemini-3-flash-preview,100,100,"[""887242138-1382858753""]",5762.093710000002,0.03828
gemini-3.1-pro-preview,openrouter,google/gemini-3.1-pro-preview,200,200,"[""887242138-1382858753""]",5875.359505,0.77868
glm-4.6,openrouter_market,z-ai/glm-4.6,99,99,"[""887242138-1382858753""]",13169.839020202022,0.081279
glm-4.6,unknown,unknown,1,0,[],152534.662,
glm-5.1,openrouter,z-ai/glm-5.1,50,50,"[""887242138-1382858753""]",9869.95016,0.102995
glm-5.2,openrouter_market,z-ai/glm-5.2,50,50,"[""887242138-1382858753""]",6158.18018,0.03145
gpt-5.5,openai_codex,gpt-5.5,150,150,"[""887242138-1382858753""]",4301.730433333334,0.0
gpt-5.6-terra,openrouter_market,openai/gpt-5.6-terra,150,150,"[""887242138-1382858753""]",2309.181526666667,0.11507099999999999
grok-4.5,openrouter_market,x-ai/grok-4.5,100,100,"[""887242138-1382858753""]",6208.04925,0.264097
kimi-k2.6,openrouter,moonshotai/kimi-k2.6,99,99,"[""887242138-1382858753""]",19423.65614141414,0.295733
kimi-k2.6,unknown,unknown,1,0,[],45095.934,
kimi-k3,openrouter_market,moonshotai/kimi-k3,50,50,"[""887242138-1382858753""]",10170.873239999999,0.237543
mercury-2,openrouter_market,inception/mercury-2,50,50,"[""887242138-1382858753""]",5821.154199999999,0.019825
qwen3.6-plus,openrouter_market,qwen/qwen3.6-plus,50,50,"[""887242138-1382858753""]",15941.50554,0.089086
qwen3.7-max,openrouter_market,qwen/qwen3.7-max,150,150,"[""887242138-1382858753""]",8748.440826666665,0.350942
qwen3.7-plus,openrouter_market,qwen/qwen3.7-plus,150,150,"[""887242138-1382858753""]",15209.074126666666,0.172927
