round_index,panel_size,round_type,source_revision,benchmark,required_margin_delta_1e-2,required_margin_delta_1e-3,required_margin_delta_1e-6
0,5,normal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.394360156449,0.452448101825,0.495347583638
1,7,appeal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.357729622993,0.423345457173,0.486895689736
2,11,normal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.306023279421,0.375071449280,0.463057866441
3,13,appeal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.287122674994,0.355694378610,0.450187130770
4,23,normal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.226706670029,0.288823726245,0.392739226803
5,25,appeal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.218592057846,0.279354101985,0.383124809297
6,47,normal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.164063952938,0.213356833287,0.307571766139
7,49,appeal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.160897886436,0.209414707391,0.302636597438
8,95,normal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.117357583390,0.154234396859,0.229493521517
9,97,appeal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.116181208980,0.152721477658,0.227392982177
10,191,normal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.083463598177,0.110276247477,0.166802139625
11,193,appeal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.083037184509,0.109718899685,0.165987528942
12,383,normal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.059187649276,0.078411489541,0.119598805944
13,385,appeal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.059034993574,0.078210339867,0.119297190232
14,767,normal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.041912175434,0.055599672614,0.085162512219
15,769,appeal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.041857864853,0.055527819441,0.085053387086
16,1535,normal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.029657679172,0.039369625763,0.060430455287
17,1537,appeal,8795606edaa84ac8b46bc6687d9a4d5ad9d25f57,large_population_iid_binomial,0.029638417304,0.039344090672,0.060391426459
