design,A,M,rho_mix,seed,K,true_coverage,mean_exact_lower,p05_exact_lower,p95_exact_lower,mean_hoeffding_lower,p05_hoeffding_lower,p95_hoeffding_lower
baseline,500,1500,0.00,5510,21,0.30000000,0.00001939,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
baseline,500,1500,0.00,5510,41,0.30000000,0.19523094,0.16371259,0.22736325,0.17384654,0.14005054,0.20805054
baseline,500,1500,0.00,5510,61,0.30000000,0.19585067,0.16371259,0.22736325,0.17450854,0.14005054,0.20805054
baseline,500,1500,0.00,5510,81,0.70000000,0.19801335,0.16556310,0.23115144,0.17681754,0.14205054,0.21205054
baseline,500,1500,0.00,5510,101,0.70000000,0.21006990,0.17855527,0.24254339,0.18965754,0.15605054,0.22405054
baseline,500,1500,0.00,5510,151,0.70000000,0.29938304,0.26544723,0.33311393,0.28325454,0.24805054,0.31805054
baseline,500,1500,0.00,5510,201,0.70000000,0.40084387,0.36445605,0.43788932,0.38682654,0.35005054,0.42405054
baseline,500,1500,0.00,5510,301,0.70000000,0.51183838,0.47409918,0.54958087,0.49716354,0.46005054,0.53405054
baseline,500,1500,0.90,5511,21,0.30000000,0.01399250,0.00000000,0.06799508,0.00472955,0.00000000,0.03405054
baseline,500,1500,0.90,5511,41,0.30000000,0.19474901,0.16371259,0.22736325,0.17332654,0.14005054,0.20805054
baseline,500,1500,0.90,5511,61,0.30000000,0.19528053,0.16556310,0.22736325,0.17390254,0.14205054,0.20805054
baseline,500,1500,0.90,5511,81,0.70000000,0.19800622,0.16556310,0.23115144,0.17676054,0.14205054,0.21205054
baseline,500,1500,0.90,5511,101,0.70000000,0.20968449,0.16741501,0.30599418,0.18901354,0.14405054,0.29015054
baseline,500,1500,0.90,5511,151,0.70000000,0.30168710,0.18414351,0.41392717,0.28478754,0.16205054,0.40005054
baseline,500,1500,0.90,5511,201,0.70000000,0.40159418,0.25388021,0.55989605,0.38682054,0.23595054,0.54405054
baseline,500,1500,0.90,5511,301,0.70000000,0.51181253,0.37627378,0.60982687,0.49638054,0.36205054,0.59205054
powered,2000,3000,0.00,5610,21,0.30000000,0.08560395,0.07278822,0.09863193,0.06918277,0.05552527,0.08302527
powered,2000,3000,0.00,5610,41,0.30000000,0.22214666,0.20533408,0.23784714,0.21186277,0.19452527,0.22802527
powered,2000,3000,0.00,5610,61,0.30000000,0.22219496,0.20533408,0.23784714,0.21191252,0.19452527,0.22802527
powered,2000,3000,0.00,5610,81,0.70000000,0.22779566,0.21114406,0.24368883,0.21767977,0.20052527,0.23402527
powered,2000,3000,0.00,5610,101,0.70000000,0.27201457,0.25490039,0.28867331,0.26303377,0.24552527,0.28005027
powered,2000,3000,0.00,5610,151,0.70000000,0.49115757,0.47173948,0.50946836,0.48383952,0.46452527,0.50202527
powered,2000,3000,0.00,5610,201,0.70000000,0.59043290,0.57173880,0.60741207,0.58188002,0.56352527,0.59852527
powered,2000,3000,0.00,5610,301,0.70000000,0.61934940,0.60128380,0.63662359,0.61018877,0.59252527,0.62705027
powered,2000,3000,0.90,5611,21,0.30000000,0.09125383,0.00000000,0.20874672,0.07760072,0.00000000,0.19805027
powered,2000,3000,0.90,5611,41,0.30000000,0.22214792,0.20533408,0.23882038,0.21186352,0.19452527,0.22902527
powered,2000,3000,0.90,5611,61,0.30000000,0.22216426,0.20533408,0.23882038,0.21188027,0.19452527,0.22902527
powered,2000,3000,0.90,5611,81,0.70000000,0.22776469,0.20627779,0.25694983,0.21760427,0.19550027,0.24762527
powered,2000,3000,0.90,5611,101,0.70000000,0.27269884,0.21114406,0.41522358,0.26339902,0.20052527,0.40802527
powered,2000,3000,0.90,5611,151,0.70000000,0.49299931,0.39677833,0.62019703,0.48526077,0.38950027,0.61102527
powered,2000,3000,0.90,5611,201,0.70000000,0.58923910,0.43465991,0.63454554,0.58047927,0.42750027,0.62502527
powered,2000,3000,0.90,5611,301,0.70000000,0.61888823,0.60077336,0.63813766,0.60972152,0.59202527,0.62852527
